Name,Email,Category,Genres,Notes
ThinkSync Music,submissions@thinksyncmusic.com,Sync Licensing,"Hip-Hop, Jazz, Neo-Soul, R&B, All","Send MP3 links via WeTransfer/Dropbox. Subject: Film/TV Music Submission"
ThinkSync UK (TSM UK),submissions@tsmuk.com,Sync Licensing / Publishing,"Hip-Hop, Jazz, Neo-Soul, R&B, All","UK branch – for publishing services and exclusive AV placement representation"
Warner Chappell Production Music,submissions@warnerchappellpm.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, Pop, All","World's largest prod music co. Link only – no attachments. 200k+ tracks"
Warner Chappell Production Music (General),info@warnerchappellpm.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, Pop, All","General inquiries; sync licensing team: 888-615-8729"
Position Music (Submissions),submissions@positionmusic.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Streaming links ONLY. Strong TV/film/trailer placement history"
Position Music (Licensing),licenses@positionmusic.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","For music supervisors and licensing requests"
Synchoney,info@synchoney.com,Sync Licensing,"Hip-Hop/Rap, R&B/Soul, Pop, All","One-stop licensing co. Team of music supervisors. Phone: 972-446-7744"
Big Noise Music Group,licensing@bignoise.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","50+ placements: Grey's Anatomy, ESPN, NBC Tonight Show, American Idol"
BMG Production Music,newsongs@bmg.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, Pop, All","Download song delivery form from website first. Global premium placements"
Jingle Punks,contact@jinglepunks.com,Production Music Library,"Hip-Hop, R&B, Pop, All","400k+ track catalog. Currently closed to new submissions – check back"
Soundstripe (Help/General),help@soundstripe.com,Production Music Library,"Hip-Hop, Lo-Fi, Jazz, Pop, All","Check site for open submission windows. 5M+ licenses issued"
Soundstripe (Partnerships),partnerships@soundstripe.com,Production Music Library,"Hip-Hop, Lo-Fi, Jazz, Pop, All","For partnership and collaboration inquiries"
Soundstripe – Josh (Sync),josh@soundstripe.com,Production Music Library,"Hip-Hop, Lo-Fi, Jazz, R&B","Direct A&R/sync contact. 15+ years in sync"
Soundstripe – Jelena (Sync),jelena.grozdanich@soundstripe.com,Production Music Library,"Hip-Hop, Lo-Fi, Jazz, R&B","Former Sony/Columbia Records. Placements: The Bear, Euphoria, Ted Lasso"
Bank Robber Music,demos@bankrobbermusic.com,Sync Agency,"Hip-Hop, R&B, Indie, Alt, All","Rough Trade Publishing affiliate. Streaming links only"
Cinevision Music,cinevisionmusic@gmail.com,Sync Agency,"Hip-Hop, R&B, Pop, All","Division of Blue Buddha Entertainment"
Alloy Tracks,info@alloytracks.com,Sync Agency,"Hip-Hop, R&B, Pop, All","Part of Blue Buddha Entertainment group"
Friendly Fire Licensing,info@friendlyfirelicensing.com,Sync Agency,"Hip-Hop, Indie, Pop, R&B, All","Boutique sync agency with TV/film placement focus"
HyperExtension Music,info@hyperextension.net,Sync Agency,"Hip-Hop, R&B, Pop, All","Boutique sync agency"
Activate Entertainment,submissions@2activate.com,Sync Agency / A&R,"Hip-Hop, R&B/Soul, Pop, Rock","Accepts SoundCloud/YouTube links; contact: James Arthur"
Lyric House,info@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","LA-based sync agency & publishing co. TV/film/trailer/game placements"
In Production Music UK (Submissions),demosubmissions@inproductionmusic.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, R&B, All","UK-based. Online links only – no email attachments"
In Production Music UK (General),hello@inproductionmusic.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, R&B, All","UK prod music library. Phone: +44 (0)7731 483 137"
MIBE Music,info@mibemusic.com,Sync / Custom Music,"Hip-Hop, Jazz, R&B, Pop","Music Inspired By Everything. Custom + sync licensing"
West One Music Group (A&R Submissions),anr@westonemusic.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, R&B, All","Send streaming link + short bio. 15 labels across 15 countries"
West One Music Group (General),hello@westonemusic.com,Production Music Library,"Hip-Hop, Jazz, Neo-Soul, R&B, All","Global indie prod music co. UK/US/global"
